Distance,Speed,Lateral G,Longitudinal G
2344,69.199999,1.43774069,-0.140350877
2346,69.399999,1.29075738,-0.036372983
2348,72.299999,1.30038510,0.096298438
2350,73.199999,1.25417201,0.221258273
2352,74.799999,1.15275994,0.232247284
2354,76.999999,1.19255455,0.288413341
2356,77.499999,1.14569961,0.303065355
2358,79.299999,1.09756097,0.362894415
2360,81.499999,1.08536585,0.470342522
2363,83.299999,0.94929396,0.432491485
2365,85.599999,0.82477535,0.452027504
2368,88.649999,0.65211809,0.493541546
2370,90.699999,0.35782232,0.430049482
2373,90.849999,-0.04864883,0.119433198
2375,92.099999,-0.50213949,-0.160658055
2378,90.899999,-0.95775320,-0.255639097
2380,90.299999,-1.26603798,-0.165413533
2383,89.199999,-1.43802047,-0.134085213
2385,88.299999,-1.48179783,-0.109022556
2388,87.599999,-1.49618182,-0.080200501
2390,86.699999,-1.52807675,-0.092731829
2392,86.199999,-1.51681972,-0.086466165
2395,85.599999,-1.56810177,-0.111528821
2397,84.699999,-1.55747013,-0.077694235
2399,83.999999,-1.56997794,-0.091478696
2402,83.399999,-1.58936506,-0.107769423
2404,82.299999,-1.56372403,-0.091478696
2406,81.699999,-1.57685724,-0.106516290
2409,80.799999,-1.55934630,-0.097744360
2411,80.199999,-1.54496231,-0.026444316
2413,79.599999,-1.53433066,0.164963691
2415,79.899999,-1.48805174,0.350684403
2418,80.899999,-1.45365524,0.431270483
2420,81.999999,-1.43051578,0.483773536
2422,83.799999,-1.44802672,0.502088554
2424,84.999999,-1.45803298,0.521624574
2427,86.799999,-1.44927750,0.530171582
2429,87.999999,-1.43864586,0.519182571
2432,88.599999,-1.42113492,0.541160593
2434,89.999999,-1.43364273,0.583895636
2437,92.099999,-1.44364899,0.570464623
2439,94.199999,-1.50055956,0.533834586
2442,94.699999,-1.49555643,0.571685624
2445,97.199999,-1.50243573,0.586337638
2447,98.499999,-1.54871465,0.582674635
2450,99.499999,-1.44177281,0.643724696
2453,102.099999,-1.28792666,0.580232632
2456,102.899999,-1.15909614,0.475226527
2459,103.899999,-1.06966525,0.513077565
2462,104.999999,-1.15596919,0.585116637
2465,106.099999,-1.26979032,0.666923719
2467,108.699999,-1.29230440,0.651050703
2471,111.199999,-1.32294855,0.514298566
2474,111.699999,-1.29543135,0.516740569
2477,113.899999,-1.29793291,0.582674635
2480,115.399999,-1.23351765,0.532613585
2483,115.999999,-1.02401171,0.455690508
2486,116.999999,-0.78073466,0.379988432
2490,117.599999,-0.54996543,0.361673414
2493,119.399999,-0.41550640,0.355568408
2496,121.899999,-0.30844936,0.395861448
2500,123.099999,-0.07159080,0.417839470
2503,123.599999,0.15878345,0.322601375
2507,123.999999,0.41418979,0.254225306
2510,124.299999,0.61874197,0.251783304
2514,125.599999,0.69255455,0.216374269
2517,127.999999,0.89537869,0.140383008
2521,129.249999,1.06161745,0.181897050
2524,131.799999,1.20474968,0.267656320
2528,132.199999,1.30231065,0.251783304
2532,133.099999,1.26957638,0.281087333
2535,133.699999,1.22657252,0.336032388
2539,134.549999,1.17779203,0.365336418
2543,135.399999,1.16238767,0.401966454
2547,136.099999,1.05648266,0.409292461
2550,139.099999,0.86521180,0.343358396
2554,139.999999,0.65404364,0.279866332
2558,140.999999,0.43709884,0.321380373
2562,142.499999,0.29910141,0.377546429
2566,143.699999,0.17270662,0.390977443
